iter	Passed	Remaining
0	19	19086
1	24	11988
2	28	9508
3	33	8316
4	38	7661
5	43	7135
6	47	6777
7	53	6640
8	58	6410
9	62	6208
10	67	6060
11	72	5941
12	76	5812
13	81	5704
14	86	5657
15	90	5567
16	94	5484
17	99	5444
18	104	5385
19	108	5316
20	112	5263
21	117	5232
22	122	5200
23	126	5149
24	131	5115
25	135	5086
26	140	5058
27	144	5024
28	149	5000
29	153	4970
30	157	4936
31	162	4906
32	166	4879
33	170	4857
34	175	4826
35	179	4799
36	183	4779
37	188	4763
38	192	4740
39	196	4724
40	201	4714
41	205	4693
42	209	4670
43	214	4660
44	218	4647
45	223	4629
46	227	4607
47	231	4601
48	236	4584
49	240	4565
50	244	4547
51	248	4536
52	252	4520
53	257	4503
54	261	4492
55	266	4488
56	270	4476
57	274	4460
58	278	4444
59	283	4437
60	287	4426
61	291	4411
62	295	4400
63	300	4390
64	304	4377
65	308	4365
66	312	4355
67	317	4345
68	321	4335
69	325	4325
70	330	4318
71	334	4311
72	338	4299
73	342	4289
74	347	4283
75	351	4274
76	355	4267
77	360	4256
78	364	4250
79	368	4241
80	372	4229
81	376	4220
82	381	4212
83	385	4203
84	389	4193
85	393	4183
86	398	4177
87	402	4169
88	406	4161
89	410	4154
90	415	4146
91	419	4138
92	423	4129
93	428	4125
94	432	4117
95	436	4108
96	440	4100
97	445	4096
98	449	4089
99	453	4083
100	457	4076
101	462	4070
102	466	4063
103	470	4055
104	474	4048
105	479	4045
106	484	4040
107	488	4032
108	492	4025
109	497	4023
110	501	4017
111	506	4012
112	510	4009
113	515	4003
114	519	3997
115	523	3991
116	528	3986
117	532	3981
118	537	3975
119	541	3970
120	546	3968
121	550	3965
122	555	3959
123	559	3955
124	564	3949
125	568	3943
126	572	3937
127	577	3932
128	581	3926
129	585	3920
130	589	3912
131	594	3907
132	598	3899
133	602	3892
134	606	3885
135	610	3879
136	614	3873
137	619	3866
138	623	3859
139	627	3853
140	631	3846
141	635	3839
142	639	3832
143	643	3826
144	647	3818
145	651	3812
146	655	3804
147	660	3800
148	664	3794
149	668	3789
150	672	3783
151	677	3777
152	681	3771
153	685	3765
154	689	3758
155	693	3753
156	698	3748
157	702	3741
158	706	3734
159	710	3729
160	714	3722
161	718	3715
162	722	3710
163	726	3705
164	731	3699
165	735	3693
166	739	3686
167	743	3682
168	747	3676
169	751	3669
170	755	3663
171	760	3661
172	764	3655
173	768	3650
174	773	3644
175	777	3639
176	781	3633
177	785	3627
178	790	3623
179	794	3617
180	798	3612
181	802	3607
182	807	3604
183	811	3599
184	816	3595
185	820	3590
186	824	3586
187	829	3580
188	833	3575
189	837	3570
190	841	3565
191	846	3560
192	850	3556
193	854	3550
194	859	3546
195	863	3540
196	867	3535
197	871	3531
198	875	3525
199	880	3520
200	884	3514
201	888	3509
202	892	3504
203	896	3499
204	900	3493
205	905	3488
206	909	3484
207	913	3479
208	917	3473
209	922	3469
210	926	3465
211	930	3459
212	934	3454
213	939	3449
214	943	3445
215	948	3441
216	952	3437
217	957	3434
218	961	3429
219	965	3423
220	969	3418
221	974	3413
222	978	3407
223	981	3401
224	986	3396
225	990	3391
226	994	3387
227	998	3382
228	1003	3378
229	1007	3373
230	1011	3367
231	1015	3362
232	1020	3357
233	1024	3354
234	1028	3348
235	1032	3343
236	1037	3341
237	1042	3336
238	1046	3331
239	1050	3325
240	1054	3321
241	1058	3316
242	1062	3310
243	1066	3305
244	1071	3302
245	1075	3297
246	1079	3292
247	1084	3287
248	1088	3283
249	1092	3278
250	1097	3273
251	1101	3268
252	1105	3264
253	1110	3260
254	1114	3255
255	1119	3252
256	1123	3248
257	1128	3244
258	1132	3239
259	1136	3235
260	1140	3229
261	1144	3224
262	1148	3219
263	1153	3214
264	1157	3209
265	1161	3204
266	1165	3198
267	1169	3195
268	1174	3190
269	1177	3184
270	1182	3179
271	1186	3176
272	1190	3171
273	1195	3166
274	1199	3161
275	1203	3157
276	1207	3152
277	1212	3148
278	1216	3143
279	1220	3138
280	1224	3133
281	1228	3128
282	1233	3124
283	1237	3119
284	1241	3114
285	1245	3108
286	1249	3103
287	1253	3099
288	1257	3094
289	1261	3089
290	1266	3085
291	1270	3081
292	1274	3075
293	1278	3070
294	1282	3065
295	1286	3060
296	1291	3055
297	1295	3050
298	1299	3046
299	1303	3041
300	1307	3036
301	1311	3032
302	1316	3027
303	1320	3022
304	1324	3017
305	1328	3012
306	1332	3008
307	1336	3003
308	1340	2998
309	1345	2993
310	1349	2990
311	1353	2985
312	1358	2980
313	1362	2976
314	1366	2972
315	1370	2967
316	1374	2962
317	1379	2957
318	1383	2953
319	1387	2949
320	1391	2944
321	1395	2939
322	1400	2934
323	1404	2929
324	1408	2925
325	1412	2920
326	1416	2916
327	1421	2911
328	1425	2907
329	1429	2903
330	1434	2899
331	1438	2895
332	1443	2890
333	1447	2886
334	1451	2882
335	1456	2877
336	1460	2872
337	1464	2868
338	1469	2864
339	1473	2859
340	1477	2855
341	1481	2850
342	1486	2846
343	1490	2841
344	1494	2837
345	1498	2833
346	1503	2829
347	1507	2824
348	1511	2819
349	1516	2815
350	1520	2810
351	1524	2806
352	1528	2802
353	1533	2797
354	1537	2793
355	1541	2789
356	1546	2784
357	1550	2780
358	1554	2776
359	1559	2771
360	1563	2767
361	1567	2763
362	1572	2758
363	1576	2754
364	1581	2751
365	1585	2746
366	1589	2742
367	1594	2737
368	1598	2733
369	1603	2729
370	1607	2725
371	1612	2721
372	1616	2717
373	1620	2713
374	1625	2708
375	1630	2705
376	1634	2700
377	1638	2696
378	1642	2691
379	1647	2687
380	1651	2682
381	1655	2677
382	1659	2672
383	1663	2668
384	1667	2663
385	1671	2659
386	1676	2654
387	1680	2651
388	1684	2646
389	1689	2642
390	1693	2637
391	1697	2633
392	1702	2628
393	1706	2624
394	1710	2620
395	1714	2615
396	1719	2611
397	1723	2606
398	1727	2602
399	1732	2598
400	1736	2593
401	1740	2589
402	1745	2585
403	1749	2580
404	1753	2576
405	1757	2571
406	1762	2567
407	1766	2562
408	1770	2557
409	1774	2553
410	1778	2549
411	1782	2544
412	1786	2539
413	1791	2535
414	1795	2531
415	1800	2526
416	1804	2522
417	1808	2517
418	1812	2513
419	1816	2509
420	1821	2504
421	1825	2499
422	1829	2495
423	1833	2490
424	1837	2485
425	1841	2480
426	1845	2476
427	1849	2471
428	1853	2467
429	1857	2462
430	1862	2458
431	1866	2453
432	1870	2449
433	1874	2444
434	1878	2440
435	1882	2435
436	1886	2430
437	1891	2426
438	1895	2422
439	1899	2417
440	1903	2413
441	1908	2409
442	1913	2405
443	1917	2400
444	1921	2396
445	1925	2392
446	1929	2387
447	1933	2382
448	1937	2378
449	1942	2373
450	1946	2369
451	1950	2364
452	1954	2360
453	1958	2355
454	1963	2351
455	1967	2346
456	1971	2342
457	1975	2337
458	1979	2333
459	1983	2328
460	1988	2324
461	1992	2320
462	1996	2315
463	2000	2311
464	2004	2306
465	2009	2303
466	2013	2298
467	2018	2294
468	2022	2289
469	2026	2285
470	2030	2280
471	2034	2276
472	2039	2271
473	2043	2267
474	2048	2263
475	2052	2259
476	2056	2255
477	2061	2250
478	2065	2246
479	2069	2242
480	2074	2238
481	2078	2233
482	2082	2229
483	2086	2224
484	2091	2221
485	2095	2216
486	2100	2212
487	2104	2207
488	2108	2203
489	2112	2199
490	2117	2194
491	2121	2190
492	2125	2186
493	2130	2181
494	2134	2177
495	2139	2173
496	2143	2169
497	2147	2164
498	2151	2160
499	2156	2156
500	2160	2151
501	2164	2147
502	2168	2142
503	2173	2138
504	2177	2134
505	2181	2129
506	2185	2125
507	2190	2121
508	2194	2116
509	2198	2112
510	2202	2107
511	2207	2103
512	2211	2099
513	2215	2094
514	2219	2090
515	2223	2085
516	2227	2081
517	2231	2076
518	2235	2072
519	2240	2067
520	2244	2063
521	2248	2058
522	2252	2054
523	2257	2050
524	2261	2045
525	2265	2041
526	2269	2036
527	2273	2032
528	2277	2027
529	2281	2023
530	2285	2018
531	2289	2014
532	2293	2009
533	2297	2004
534	2301	2000
535	2306	1996
536	2310	1991
537	2314	1987
538	2318	1982
539	2322	1978
540	2326	1974
541	2330	1969
542	2334	1965
543	2339	1960
544	2343	1956
545	2347	1951
546	2351	1947
547	2356	1943
548	2360	1939
549	2364	1934
550	2368	1930
551	2372	1925
552	2376	1921
553	2381	1916
554	2385	1912
555	2389	1908
556	2393	1903
557	2397	1899
558	2402	1895
559	2406	1890
560	2410	1886
561	2414	1881
562	2419	1877
563	2423	1873
564	2427	1868
565	2431	1864
566	2435	1859
567	2439	1855
568	2443	1851
569	2447	1846
570	2451	1842
571	2456	1837
572	2460	1833
573	2464	1828
574	2468	1824
575	2472	1820
576	2476	1815
577	2480	1811
578	2485	1807
579	2489	1802
580	2493	1798
581	2497	1794
582	2502	1790
583	2506	1785
584	2511	1781
585	2515	1777
586	2519	1772
587	2524	1768
588	2528	1764
589	2533	1760
590	2537	1756
